loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
171,AU Mic b,AU Mic,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,8.46308,0.00006,-0.00006,0,0.0649,0.0012,-0.0012,0,3.957,0.146,-0.146,0,0.353,0.013,-0.013,0,,,,,,,,,,0.00577,0.00101,-0.00101,0,21.2,2.5,-2.4,0,600,17,-16,0,1,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678,90,-88,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,0.23,0.24,-0.3,0,[Fe/H],4.4,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,9/28/2024,2023-12,9/28/2024
180,AU Mic c,AU Mic,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,18.85969,0.00008,-0.00008,0,0.1108,0.002,-0.002,0,2.522,0.247,-0.247,0,0.225,0.022,-0.022,0,,,,,,,,,,0.00338,0.00164,-0.00164,0,7.3,0.9,-0.8,0,459,13,-12,0,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678,90,-88,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,0.23,0.24,-0.3,0,[Fe/H],4.4,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,9/28/2024,2023-12,9/28/2024
218,BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,0.0000052,-0.0000052,0,0.0656,0.0026,-0.0026,0,21.59,1.05,-1.05,0,1.926,0.094,-0.094,0,3932,290,-280,0,12.37,0.92,-0.87,0,Mass,0.066,0.0098,-0.011,0,,,,,2001,31,-31,0,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935,90,-90,0,2.35,0.08,-0.08,0,1.41,0.05,-0.05,0,-0.34,0.05,-0.05,0,[Fe/H],3.85,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,16.599,-15.729,11.1,0.013,-0.013,9.932,0.026,-0.026,10.91,0.001617,-0.001617,6/25/2024,2024-03,6/25/2024
384,DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,0.000011,-0.000011,0,,,,,5.7,0.17,-0.17,0,0.509,0.015,-0.015,0,,,,,,,,,,0,,,0,,,,,850,,,0,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428,80,-80,0,0.96,0.03,-0.03,0,1.01,0.06,-0.06,0,0,,,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,44.0622,0.0693,-0.0691,8.17,0.03,-0.03,6.676,0.034,-0.034,8.31926,0.001025,-0.001025,7/3/2019,2019-07,7/11/2019
553,GJ 1252 b,GJ 1252,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,0.5182331,0.0000084,-0.0000084,0,,,,,1.193,0.074,-0.074,0,0.106,0.007,-0.007,0,1.32,0.28,-0.28,0,0.00415,0.00088,-0.00088,0,Mass,0,,,0,,,,,,,,,0,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,M3,3458,140,-133,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,0.1,0.1,-0.1,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.373,0.0192,-0.0192,12.68,0.2,-0.2,7.915,0.023,-0.023,11.2364,0.000806,-0.000806,7/10/2023,2022-09,7/10/2023
559,GJ 143 b,GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,35.61253,0.0006,-0.00062,0,0.1915,0.0058,-0.0063,0,2.61,0.17,-0.16,0,0.233,0.015,-0.014,0,22.7,2.2,-1.9,0,0.07142,0.00692,-0.00598,0,Mass,0.188,0.076,-0.078,0,,,,,422,15,-14,0,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640,100,-100,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.06,-0.06,0,[Fe/H],4.61,0.05,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,16.32,0.0071,-0.0071,8.08,0.03,-0.03,5.375,0.024,-0.024,7.67906,0.00026,-0.00026,4/22/2019,2019-04,4/25/2019
585,GJ 238 b,GJ 238,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,1.7446999,0.0000019,-0.0000018,0,0.02123,0.00016,-0.00017,0,0.566,0.014,-0.014,0,0.05,0.001,-0.001,0,,,,,,,,,,,,,,,,,,758,16,-15,0,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,M2.5 V,3485,140,-140,0,0.43,0.01,-0.01,0,0.42,0.01,-0.01,0,0.15,0.1,-0.1,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h33m49.17s,98.454881,-58d31m30.11s,-58.5250316,15.2142,0.0071,-0.0072,11.62,0.1,-0.1,7.03,0.023,-0.023,10.5294,0.000463,-0.000463,8/7/2024,2024-06,8/7/2024
594,GJ 3090 b,GJ 3090,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.8531054,0.0000023,-0.0000023,0,0.03165,0.00027,-0.00027,0,2.13,0.11,-0.11,0,0.19,0.01,-0.01,0,3.34,0.72,-0.72,0,0.01051,0.00227,-0.00227,0,Mass,0.32,,,1,,,,,693,18,-18,0,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556,70,-70,0,0.52,0.02,-0.02,0,0.52,0.01,-0.01,0,-0.06,0.12,-0.12,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,22.4751,0.02605,-0.02605,11.403,0.026,-0.026,7.294,0.026,-0.026,10.5521,0.000938,-0.000938,11/28/2023,2022-07,11/28/2023
633,GJ 3473 b,GJ 3473,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.1980035,0.0000018,-0.0000019,0,0.01589,0.00062,-0.00062,0,1.264,0.05,-0.049,0,0.113,0.004,-0.004,0,1.86,0.3,-0.3,0,0.00585,0.00094,-0.00094,0,Mass,0,,,0,59.4,5,-4.5,0,773,16,-15,0,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,3347,54,-54,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,0.11,0.19,-0.19,0,[Fe/H],4.81,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.3644,0.0376,-0.0376,13.74,0.027,-0.027,8.829001,0.024,-0.024,12.465,0.000343,-0.000343,10/16/2020,2020-10,10/22/2020
639,GJ 357 b,GJ 357,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,3.9306,0.000002,-0.000002,0,0.036,0.0004,-0.0004,0,1.2,0.06,-0.06,0,0.107,0.005,-0.005,0,,,,,,,,,,,,,,,,,,518,44,-44,0,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M2.5 V,3505,51,-51,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,-0.12,0.16,-0.16,0,[Fe/H],4.94,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.6650634,9.44181,0.00511,-0.00511,10.91,0.1,-0.1,6.475,0.017,-0.017,9.88036,0.00144,-0.00144,8/22/2023,2023-03,8/22/2023
